main() started
created network
created batch_gradient
created image_gradient
zeroed batch_gradient
zeroed image_gradient
zeroed network
After zero_network, before load_network
Loss for batch(0, 212): 1.064742
Loss for batch(0, 213): 1.064030
Loss for batch(0, 214): 1.063230
Loss for batch(0, 215): 1.062535
Loss for batch(0, 216): 1.061753
Loss for batch(0, 217): 1.061042
Loss for batch(0, 218): 1.060303
Loss for batch(0, 219): 1.059506
Loss for batch(0, 220): 1.058740
Loss for batch(0, 221): 1.057996
Loss for batch(0, 222): 1.057263
Loss for batch(0, 223): 1.056613
Loss for batch(0, 224): 1.055876
Loss for batch(0, 225): 1.055093
Loss for batch(0, 226): 1.054343
Loss for batch(0, 227): 1.053581
Loss for batch(0, 228): 1.052821
Loss for batch(0, 229): 1.052111
Loss for batch(0, 230): 1.051263
Loss for batch(0, 231): 1.050594
Loss for batch(0, 232): 1.049868
Loss for batch(0, 233): 1.049253
Loss for batch(0, 234): 1.048464
Loss for batch(0, 235): 1.047743
Loss for batch(0, 236): 1.046946
Loss for batch(0, 237): 1.046259
Loss for batch(0, 238): 1.045459
Loss for batch(0, 239): 1.044822
Loss for batch(0, 240): 1.044062
Loss for batch(0, 241): 1.043373
Loss for batch(0, 242): 1.042665
Loss for batch(0, 243): 1.041944
Loss for batch(0, 244): 1.041169
Loss for batch(0, 245): 1.040465
Loss for batch(0, 246): 1.039699
Loss for batch(0, 247): 1.039061
Loss for batch(0, 248): 1.038388
Loss for batch(0, 249): 1.037566
Loss for batch(0, 250): 1.036899
Loss for batch(0, 251): 1.036142
Loss for batch(0, 252): 1.035492
Loss for batch(0, 253): 1.034754
Loss for batch(0, 254): 1.033985
Loss for batch(0, 255): 1.033281
Loss for batch(0, 256): 1.032721
Loss for batch(0, 257): 1.031888
Loss for batch(0, 258): 1.031262
Loss for batch(0, 259): 1.030521
Loss for batch(0, 260): 1.029706
Loss for batch(0, 261): 1.029042
Loss for batch(0, 262): 1.028346
Loss for batch(0, 263): 1.027634
Loss for batch(0, 264): 1.026926
Loss for batch(0, 265): 1.026238
Loss for batch(0, 266): 1.025561
Loss for batch(0, 267): 1.024896
Loss for batch(0, 268): 1.024261
Loss for batch(0, 269): 1.023515
Loss for batch(0, 270): 1.022804
Loss for batch(0, 271): 1.022116
Loss for batch(0, 272): 1.021410
Loss for batch(0, 273): 1.020659
Loss for batch(0, 274): 1.020055
Loss for batch(0, 275): 1.019311
Loss for batch(0, 276): 1.018684
Loss for batch(0, 277): 1.017959
Loss for batch(0, 278): 1.017301
Loss for batch(0, 279): 1.016643
Loss for batch(0, 280): 1.015886
Loss for batch(0, 281): 1.015255
Loss for batch(0, 282): 1.014524
Loss for batch(0, 283): 1.013782
Loss for batch(0, 284): 1.013160
Loss for batch(0, 285): 1.012492
Loss for batch(0, 286): 1.011790
Loss for batch(0, 287): 1.011035
Loss for batch(0, 288): 1.010363
Loss for batch(0, 289): 1.009725
Loss for batch(0, 290): 1.009052
Loss for batch(0, 291): 1.008401
Loss for batch(0, 292): 1.007700
Loss for batch(0, 293): 1.007064
Loss for batch(0, 294): 1.006419
Loss for batch(0, 295): 1.005685
Loss for batch(0, 296): 1.005108
Loss for batch(0, 297): 1.004417
Loss for batch(0, 298): 1.003672
Loss for batch(0, 299): 1.003065
Loss for iteration(0): 1.118208
Opened training files for iteration 1
Loss for batch(1, 0): 1.002288
Loss for batch(1, 1): 1.001654
Loss for batch(1, 2): 1.001011
Loss for batch(1, 3): 1.000447
Loss for batch(1, 4): 0.999731
Loss for batch(1, 5): 0.998944
Loss for batch(1, 6): 0.998436
Loss for batch(1, 7): 0.997818
Loss for batch(1, 8): 0.997054
Loss for batch(1, 9): 0.996477
Loss for batch(1, 10): 0.995720
Loss for batch(1, 11): 0.995180
Loss for batch(1, 12): 0.994465
Loss for batch(1, 13): 0.993725
Loss for batch(1, 14): 0.993095
Loss for batch(1, 15): 0.992555
Loss for batch(1, 16): 0.991848
Loss for batch(1, 17): 0.991110
Loss for batch(1, 18): 0.990577
Loss for batch(1, 19): 0.989865
Loss for batch(1, 20): 0.989224
Loss for batch(1, 21): 0.988555
Loss for batch(1, 22): 0.987891
Loss for batch(1, 23): 0.987352
Loss for batch(1, 24): 0.986531
Loss for batch(1, 25): 0.986007
Loss for batch(1, 26): 0.985367
Loss for batch(1, 27): 0.984713
Loss for batch(1, 28): 0.984080
Loss for batch(1, 29): 0.983441
Loss for batch(1, 30): 0.982787
Loss for batch(1, 31): 0.982181
Loss for batch(1, 32): 0.981535
Loss for batch(1, 33): 0.980916
Loss for batch(1, 34): 0.980318
Loss for batch(1, 35): 0.979648
Loss for batch(1, 36): 0.979084
Loss for batch(1, 37): 0.978317
Loss for batch(1, 38): 0.977605
Loss for batch(1, 39): 0.977150
Loss for batch(1, 40): 0.976367
Loss for batch(1, 41): 0.975814
Loss for batch(1, 42): 0.975105
Loss for batch(1, 43): 0.974675
Loss for batch(1, 44): 0.973916
Loss for batch(1, 45): 0.973379
Loss for batch(1, 46): 0.972779
Loss for batch(1, 47): 0.972048
Loss for batch(1, 48): 0.971452
Loss for batch(1, 49): 0.970879
Loss for batch(1, 50): 0.970206
Loss for batch(1, 51): 0.969598
Loss for batch(1, 52): 0.969052
Loss for batch(1, 53): 0.968430
Loss for batch(1, 54): 0.967791
Loss for batch(1, 55): 0.967089
Loss for batch(1, 56): 0.966424
Loss for batch(1, 57): 0.965942
Loss for batch(1, 58): 0.965323
Loss for batch(1, 59): 0.964820
Loss for batch(1, 60): 0.964048
Loss for batch(1, 61): 0.963368
Loss for batch(1, 62): 0.962889
Loss for batch(1, 63): 0.962269
Loss for batch(1, 64): 0.961684
Loss for batch(1, 65): 0.961017
Loss for batch(1, 66): 0.960519
Loss for batch(1, 67): 0.959849
Loss for batch(1, 68): 0.959139
Loss for batch(1, 69): 0.958656
Loss for batch(1, 70): 0.958111
Loss for batch(1, 71): 0.957293
Loss for batch(1, 72): 0.956810
Loss for batch(1, 73): 0.956311
Loss for batch(1, 74): 0.955503
Loss for batch(1, 75): 0.955013
Loss for batch(1, 76): 0.954362
Loss for batch(1, 77): 0.953803
Loss for batch(1, 78): 0.953299
Loss for batch(1, 79): 0.952580
Loss for batch(1, 80): 0.952109
Loss for batch(1, 81): 0.951333
Loss for batch(1, 82): 0.950954
Loss for batch(1, 83): 0.950189
Loss for batch(1, 84): 0.949605
Loss for batch(1, 85): 0.948995
Loss for batch(1, 86): 0.948447
Loss for batch(1, 87): 0.947896
Loss for batch(1, 88): 0.947267
Loss for batch(1, 89): 0.946603
^C
